                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.40964,                0.30566,                0.93823,                0.97669,                 0.9622,                0.97598,                0.90142,                0.50501,                0.26882,                0.95251,               0.001618,               0.001618,               0.001618
                    130,                0.41518,                0.31683,                0.94392,                 0.9767,                 0.9624,                0.97573,                0.90219,                0.50514,                 0.2681,                0.95271,               0.001552,               0.001552,               0.001552
                    131,                 0.4019,                0.30821,                0.93818,                0.97637,                0.96254,                0.97567,                0.90114,                0.50541,                0.26789,                0.95289,               0.001486,               0.001486,               0.001486
                    132,                0.40248,                0.30206,                0.93987,                0.97601,                0.96276,                0.97573,                0.90177,                0.50522,                0.26754,                0.95274,                0.00142,                0.00142,                0.00142
                    133,                0.40132,                0.30374,                0.93729,                0.97558,                0.96304,                0.97582,                0.90221,                 0.5054,                0.26731,                0.95323,               0.001354,               0.001354,               0.001354
                    134,                0.40138,                0.30737,                0.93729,                0.97551,                0.96297,                0.97602,                0.90201,                  0.506,                0.26643,                0.95374,               0.001288,               0.001288,               0.001288
                    135,                0.40038,                0.30469,                0.93697,                0.97597,                 0.9626,                0.97619,                0.90233,                0.50582,                0.26681,                0.95413,               0.001222,               0.001222,               0.001222
                    136,                0.39549,                0.29942,                0.93609,                0.97667,                 0.9614,                0.97627,                0.90288,                0.50566,                0.26715,                0.95388,               0.001156,               0.001156,               0.001156
                    137,                0.39449,                0.30451,                0.93678,                0.97666,                0.96105,                0.97635,                0.90306,                0.50545,                0.26661,                0.95378,                0.00109,                0.00109,                0.00109
                    138,                0.39073,                0.29594,                0.93453,                 0.9766,                0.96072,                0.97639,                0.90315,                 0.5057,                0.26633,                0.95342,               0.001024,               0.001024,               0.001024
                    139,                0.38844,                0.29238,                0.92941,                0.97637,                 0.9603,                 0.9764,                0.90312,                0.50578,                0.26597,                0.95366,               0.000958,               0.000958,               0.000958
                    140,                0.37847,                0.29257,                0.93089,                0.96967,                0.96783,                0.97638,                 0.9033,                0.50582,                0.26551,                0.95399,               0.000892,               0.000892,               0.000892
                    141,                0.32842,                0.20724,                0.87461,                0.96902,                0.96816,                0.97648,                0.90325,                0.50611,                0.26573,                0.95396,               0.000826,               0.000826,               0.000826
                    142,                0.31656,                0.20416,                0.86837,                0.97623,                0.95944,                0.97654,                0.90274,                0.50599,                0.26618,                0.95355,                0.00076,                0.00076,                0.00076
                    143,                0.31454,                0.20654,                 0.8697,                 0.9687,                0.96743,                0.97664,                0.90316,                0.50622,                0.26701,                0.95358,               0.000694,               0.000694,               0.000694
                    144,                 0.3068,                  0.193,                0.86556,                0.96898,                 0.9674,                0.97678,                0.90347,                0.50639,                0.26729,                 0.9535,               0.000628,               0.000628,               0.000628
                    145,                 0.3025,                0.18906,                0.86087,                0.96921,                0.96747,                0.97688,                0.90325,                0.50669,                0.26745,                0.95377,               0.000562,               0.000562,               0.000562
                    146,                0.29697,                0.18728,                0.85603,                0.96956,                0.96723,                0.97696,                0.90368,                0.50711,                0.26774,                0.95427,               0.000496,               0.000496,               0.000496
                    147,                0.29941,                0.18879,                0.86043,                0.96965,                0.96733,                0.97708,                 0.9036,                0.50734,                 0.2674,                0.95468,                0.00043,                0.00043,                0.00043
                    148,                0.29209,                 0.1868,                 0.8603,                0.97663,                0.96001,                0.97702,                0.90327,                0.50773,                0.26825,                0.95496,               0.000364,               0.000364,               0.000364
                    149,                0.28839,                0.18737,                0.85849,                0.96967,                0.96788,                0.97715,                0.90338,                0.50818,                0.26846,                 0.9555,               0.000298,               0.000298,               0.000298
                    150,                0.28846,                0.18559,                0.85402,                0.96964,                0.96835,                0.97714,                0.90364,                0.50845,                0.26868,                0.95595,               0.000232,               0.000232,               0.000232
